epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.65922,1.25583,3.91593,0.00658,0.0113,0.90308,0.2804,0.19047,0.79652,4.60154,0.00429,0.00038341,0.00038341,0.00038341
2,18.6448,1.25153,3.28652,0.00725,0.00988,0.77264,0.27851,0.20042,0.99706,4.36304,0.00598,0.000775733,0.000775733,0.000775733
3,27.4099,1.25916,2.8062,0.00726,0.58715,0.37747,0.58684,0.4548,0.75293,3.51436,0.0045,0.00116014,0.00116014,0.00116014
4,35.9957,1.30437,2.30091,0.00726,0.73581,0.5106,0.77275,0.56986,0.97637,3.0337,0.00609,0.00153662,0.00153662,0.00153662
5,44.4131,1.32635,2.20321,0.00771,0.73056,0.76268,0.80663,0.61494,0.84169,2.36039,0.00463,0.00160099,0.00160099,0.00160099
6,53.0633,1.31643,1.85429,0.00705,0.63789,0.8279,0.77126,0.60106,0.82954,2.10207,0.00471,0.00158448,0.00158448,0.00158448
7,61.5474,1.29599,1.66826,0.00692,0.80852,0.91757,0.90518,0.7278,0.8099,1.72354,0.00458,0.00156798,0.00156798,0.00156798
8,70.1741,1.26853,1.59207,0.00706,0.84684,0.89342,0.91641,0.71875,0.89475,1.63252,0.00521,0.00155148,0.00155148,0.00155148
9,78.7012,1.24512,1.47691,0.00686,0.77131,0.87591,0.90875,0.77395,0.6907,1.33533,0.00408,0.00153497,0.00153497,0.00153497
10,87.2308,1.27883,1.31124,0.00681,0.86135,0.93651,0.93636,0.66169,1.02608,1.30423,0.00659,0.00151847,0.00151847,0.00151847
11,95.9788,1.22374,1.24616,0.00678,0.88052,0.87077,0.93418,0.7734,0.76131,1.08125,0.00425,0.00150197,0.00150197,0.00150197
12,104.652,1.24,1.14781,0.00673,0.8709,0.84504,0.915,0.71641,0.92566,1.05361,0.00544,0.00148546,0.00148546,0.00148546
13,113.32,1.277,1.08912,0.00698,0.83543,0.90761,0.9235,0.77571,0.68937,0.92468,0.00378,0.00146896,0.00146896,0.00146896
14,121.878,1.22653,1.05319,0.007,0.86651,0.86023,0.90389,0.76802,0.72743,0.80223,0.00408,0.00145246,0.00145246,0.00145246
15,130.58,1.19447,0.97142,0.0064,0.84827,0.8935,0.93179,0.78801,0.6816,0.73484,0.00364,0.00143595,0.00143595,0.00143595
16,139.277,1.2378,0.93592,0.00698,0.87319,0.91123,0.93518,0.77937,0.71807,0.70518,0.0037,0.00141945,0.00141945,0.00141945
17,148.072,1.20669,0.89467,0.00674,0.89161,0.93589,0.95267,0.78719,0.78208,0.63112,0.00435,0.00140295,0.00140295,0.00140295
18,156.603,1.20025,0.83722,0.00641,0.89056,0.92873,0.94159,0.78008,0.82484,0.62104,0.00475,0.00138644,0.00138644,0.00138644
19,165.196,1.19512,0.82358,0.00627,0.91603,0.88906,0.95081,0.80157,0.70828,0.53102,0.00402,0.00136994,0.00136994,0.00136994
