epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,195.535,1.14003,3.1417,0.02429,0.91003,0.85925,0.93942,0.58717,1.24471,1.02745,0.03994,0.00997763,0.00332588,0.00997763,0.00332588,0.00997763,0.00332588,0.00997763,0.00332588
2,373.68,1.08028,1.0028,0.02264,0.9237,0.886,0.9501,0.69331,0.98654,0.51348,0.02977,0.0197799,0.00659328,0.0197799,0.00659328,0.0197799,0.00659328,0.0197799,0.00659328
3,545.902,1.14033,0.83192,0.02371,0.88635,0.85607,0.9334,0.63574,1.10921,0.60402,0.03312,0.0293841,0.00979469,0.0293841,0.00979469,0.0293841,0.00979469,0.0293841,0.00979469
4,715.102,1.18797,0.82612,0.0249,0.93273,0.89713,0.95016,0.64292,1.15471,0.49561,0.03705,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,884.886,1.12707,0.7694,0.02358,0.9392,0.8635,0.94885,0.71151,0.94284,0.48897,0.02849,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1054.63,1.09993,0.71053,0.02284,0.95024,0.89613,0.9597,0.69098,1.03401,0.44559,0.03111,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1224.08,1.05136,0.68124,0.02177,0.94568,0.92165,0.97118,0.75947,0.83326,0.36069,0.02481,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1394.41,1.03245,0.64146,0.02117,0.95017,0.91489,0.96304,0.74028,0.89045,0.40455,0.02669,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1563.62,1.00108,0.63592,0.02058,0.95475,0.91505,0.97091,0.75807,0.86191,0.37081,0.02581,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1733.51,0.98949,0.59207,0.02016,0.97375,0.93076,0.98506,0.80176,0.74514,0.31304,0.02177,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1903.07,0.97386,0.56541,0.01967,0.95752,0.94252,0.97978,0.78079,0.78715,0.31862,0.02307,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2073.2,0.96562,0.5661,0.01961,0.94983,0.92496,0.97538,0.76992,0.82176,0.34202,0.02434,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2243.1,0.95289,0.54967,0.01933,0.95422,0.94486,0.98056,0.80298,0.73765,0.29513,0.02127,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2412.25,0.93415,0.53231,0.01889,0.96601,0.9529,0.98079,0.79166,0.77238,0.29088,0.02281,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2582.29,0.92436,0.51674,0.01859,0.96425,0.94322,0.98039,0.79997,0.76977,0.30654,0.02242,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2752.01,0.91602,0.50856,0.01851,0.9713,0.95114,0.98352,0.82229,0.67703,0.274,0.01954,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2922.33,0.90205,0.49951,0.01811,0.96924,0.95688,0.98755,0.8127,0.72077,0.27294,0.02094,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3092.27,0.88975,0.48322,0.01791,0.97106,0.95643,0.98829,0.80996,0.74455,0.26862,0.02182,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3261.99,0.88239,0.47961,0.01764,0.9771,0.95785,0.98845,0.81878,0.70061,0.25319,0.02024,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3432.87,0.87344,0.47177,0.01733,0.97153,0.95643,0.98746,0.83088,0.65277,0.25038,0.01869,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3602.7,0.85609,0.44433,0.01706,0.97937,0.94806,0.98759,0.83863,0.65658,0.25187,0.01895,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,3773.29,0.86303,0.46396,0.01717,0.98224,0.94954,0.98809,0.84236,0.64329,0.24107,0.01845,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,3943.4,0.84128,0.45587,0.01678,0.98673,0.95819,0.99027,0.83788,0.65532,0.24489,0.01881,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,4113.65,0.82945,0.43797,0.01648,0.9838,0.96347,0.99064,0.84723,0.62766,0.2326,0.01791,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,4284.02,0.83747,0.43827,0.01646,0.97706,0.95588,0.98894,0.85481,0.60054,0.23961,0.01703,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,4453.57,0.83066,0.43124,0.01653,0.9739,0.97359,0.99134,0.83896,0.64335,0.23286,0.01828,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,4624.19,0.82194,0.43762,0.01623,0.98591,0.95643,0.99027,0.84611,0.62458,0.22907,0.01768,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,4793.66,0.82154,0.42981,0.01623,0.97792,0.96919,0.99111,0.84675,0.61686,0.22911,0.01766,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,4963.89,0.8073,0.41083,0.01592,0.98389,0.96785,0.99088,0.86103,0.60669,0.21578,0.01718,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,5133.67,0.79629,0.41351,0.0157,0.96826,0.96919,0.98468,0.85036,0.60436,0.238,0.01719,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,5303.61,0.80257,0.41046,0.01574,0.98357,0.97505,0.99175,0.85436,0.61262,0.21327,0.01742,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
